Player,Team
DeMar DeRozan,TOR
Kyle Lowry,TOR
Jonas Valanciunas,TOR
Norman Powell,TOR
Serge Ibaka,TOR
Delon Wright,TOR
C.J. Miles,TOR
Jakob Poeltl,TOR
OG Anunoby,TOR
Fred VanVleet,TOR
Pascal Siakam,TOR
Alfonzo McKinnie,TOR
Lucas Nogueira,TOR
Jaylen Brown,BOS
Kyrie Irving,BOS
Jayson Tatum,BOS
Al Horford,BOS
Gordon Hayward,BOS
Marcus Smart,BOS
Terry Rozier,BOS
Aron Baynes,BOS
Semi Ojeleye,BOS
Shane Larkin,BOS
Daniel Theis,BOS
Abdel Nader,BOS
LeBron James,CLE
Jae Crowder,CLE
Derrick Rose,CLE
Dwyane Wade,CLE
Kevin Love,CLE
J.R. Smith,CLE
Tristan Thompson,CLE
Jeff Green,CLE
Iman Shumpert,CLE
Kyle Korver,CLE
Channing Frye,CLE
Cedi Osman,CLE
Jose Calderon,CLE
Justin Holiday,CHI
Lauri Markkanen,CHI
Robin Lopez,CHI
Jerian Grant,CHI
Paul Zipser,CHI
Denzel Valentine,CHI
Cristiano Felicio,CHI
Kay Felder,CHI
David Nwaba,CHI
Quincy Pondexter,CHI
Ryan Arcidiacono,CHI
Antonio Blakeney,CHI
Bobby Portis,CHI
Ben Simmons,PHI
J.J. Redick,PHI
Robert Covington,PHI
Jerryd Bayless,PHI
Joel Embiid,PHI
Dario Saric,PHI
Timothe Luwawu-Cabarrot,PHI
Markelle Fultz,PHI
Amir Johnson,PHI
T.J. McConnell,PHI
Jahlil Okafor,PHI
Nik Stauskas,PHI
Justin Anderson,PHI
John Wall,WAS
Bradley Beal,WAS
Marcin Gortat,WAS
Otto Porter,WAS
Jason Smith,WAS
Kelly Oubre,WAS
Jodie Meeks,WAS
Mike Scott,WAS
Ian Mahinmi,WAS
Tim Frazier,WAS
Chris McCullough,WAS
Tomas Satoransky,WAS
Carrick Felix,WAS
Kristaps Porzingis,NYK
Courtney Lee,NYK
Tim Hardaway,NYK
Enes Kanter,NYK
Ramon Sessions,NYK
Doug McDermott,NYK
Ron Baker,NYK
Kyle O'Quinn,NYK
Lance Thomas,NYK
Frank Ntilikina,NYK
Willy Hernangomez,NYK
Damyean Dotson,NYK
Michael Beasley,NYK
Paul George,OKC
Carmelo Anthony,OKC
Russell Westbrook,OKC
Steven Adams,OKC
Andre Roberson,OKC
Alex Abrines,OKC
Jerami Grant,OKC
Raymond Felton,OKC
Terrance Ferguson,OKC
Patrick Patterson,OKC
Dakari Johnson,OKC
Josh Huestis,OKC
Nick Collison,OKC
D'Angelo Russell,BRK
Rondae Hollis-Jefferson,BRK
DeMarre Carroll,BRK
Jeremy Lin,BRK
Timofey Mozgov,BRK
Trevor Booker,BRK
Caris LeVert,BRK
Allen Crabbe,BRK
Spencer Dinwiddie,BRK
Quincy Acy,BRK
Joe Harris,BRK
Sean Kilpatrick,BRK
Jarrett Allen,BRK
Myles Turner,IND
Thaddeus Young,IND
Darren Collison,IND
Bojan Bogdanovic,IND
Victor Oladipo,IND
Cory Joseph,IND
Lance Stephenson,IND
Domantas Sabonis,IND
Damien Wilkins,IND
T.J. Leaf,IND
Al Jefferson,IND
Joe Young,IND
Ike Anigbogu,IND
Khris Middleton,MIL
Malcolm Brogdon,MIL
Giannis Antetokounmpo,MIL
Tony Snell,MIL
Thon Maker,MIL
Matthew Dellavedova,MIL
John Henson,MIL
Greg Monroe,MIL
Mirza Teletovic,MIL
Rashad Vaughn,MIL
Jason Terry,MIL
D.J. Wilson,MIL
Sterling Brown,MIL
Kemba Walker,CHA
Dwight Howard,CHA
Jeremy Lamb,CHA
Marvin Williams,CHA
Dwayne Bacon,CHA
Cody Zeller,CHA
Frank Kaminsky,CHA
Malik Monk,CHA
Treveon Graham,CHA
Julyan Stone,CHA
Michael Kidd-Gilchrist,CHA
Johnny O'Bryant,CHA
Michael Carter-Williams,CHA
Stanley Johnson,DET
Tobias Harris,DET
Reggie Jackson,DET
Avery Bradley,DET
Andre Drummond,DET
Langston Galloway,DET
Ish Smith,DET
Jon Leuer,DET
Henry Ellenson,DET
Eric Moreland,DET
Luke Kennard,DET
Boban Marjanovic,DET
Reggie Bullock,DET
Dion Waiters,MIA
Hassan Whiteside,MIA
Josh Richardson,MIA
Goran Dragic,MIA
Kelly Olynyk,MIA
Justise Winslow,MIA
Tyler Johnson,MIA
James Johnson,MIA
Wayne Ellington,MIA
Bam Adebayo,MIA
Jordan Mickey,MIA
Matt Williams,MIA
Udonis Haslem,MIA
Evan Fournier,ORL
Aaron Gordon,ORL
Elfrid Payton,ORL
Nikola Vucevic,ORL
Terrence Ross,ORL
Jonathon Simmons,ORL
Jonathan Isaac,ORL
D.J. Augustin,ORL
Bismack Biyombo,ORL
Shelvin Mack,ORL
Arron Afflalo,ORL
Marreese Speights,ORL
Mario Hezonja,ORL
Dennis Schroder,ATL
Kent Bazemore,ATL
Taurean Waller-Prince,ATL
Dewayne Dedmon,ATL
Ersan Ilyasova,ATL
Marco Belinelli,ATL
John Collins,ATL
DeAndre' Bembry,ATL
Mike Muscala,ATL
Malcolm Delaney,ATL
Luke Babbitt,ATL
Josh Magette,ATL
Tyler Dorsey,ATL
Harrison Barnes,DAL
Wesley Matthews,DAL
Yogi Ferrell,DAL
Dennis Smith,DAL
Dirk Nowitzki,DAL
Nerlens Noel,DAL
J.J. Barea,DAL
Devin Harris,DAL
Dwight Powell,DAL
Dorian Finney-Smith,DAL
Salah Mejri,DAL
Jeff Withey,DAL
Maxi Kleber,DAL
Damian Lillard,POR
Al-Farouq Aminu,POR
Maurice Harkless,POR
Evan Turner,POR
Jusuf Nurkic,POR
Pat Connaughton,POR
Shabazz Napier,POR
Caleb Swanigan,POR
Ed Davis,POR
Jake Layman,POR
Meyers Leonard,POR
Zach Collins,POR
C.J. McCollum,POR
Josh Jackson,PHO
Eric Bledsoe,PHO
T.J. Warren,PHO
Devin Booker,PHO
Tyson Chandler,PHO
Troy Daniels,PHO
Dragan Bender,PHO
Tyler Ulis,PHO
Marquese Chriss,PHO
Mike James,PHO
Alec Peters,PHO
Derrick Jones,PHO
Gary Harris,DEN
Nikola Jokic,DEN
Wilson Chandler,DEN
Paul Millsap,DEN
Jamal Murray,DEN
Will Barton,DEN
Emmanuel Mudiay,DEN
Mason Plumlee,DEN
Kenneth Faried,DEN
Juan Hernangomez,DEN
Malik Beasley,DEN
Trey Lyles,DEN
Darrell Arthur,DEN
Rudy Gobert,UTA
Joe Ingles,UTA
Ricky Rubio,UTA
Derrick Favors,UTA
Donovan Mitchell,UTA
Thabo Sefolosha,UTA
Joe Johnson,UTA
Rodney Hood,UTA
Alec Burks,UTA
Ekpe Udoh,UTA
Royce O'Neale,UTA
Nate Wolters,UTA
Jonas Jerebko,UTA
Jimmy Butler,MIN
Karl-Anthony Towns,MIN
Andrew Wiggins,MIN
Taj Gibson,MIN
Jeff Teague,MIN
Jamal Crawford,MIN
Tyus Jones,MIN
Shabazz Muhammad,MIN
Gorgui Dieng,MIN
Nemanja Bjelica,MIN
Aaron Brooks,MIN
Marcus Georges-Hunt,MIN
Cole Aldrich,MIN
LaMarcus Aldridge,SAS
Danny Green,SAS
Kyle Anderson,SAS
Pau Gasol,SAS
Dejounte Murray,SAS
Rudy Gay,SAS
Patty Mills,SAS
Manu Ginobili,SAS
Joffrey Lauvergne,SAS
Davis Bertans,SAS
Bryn Forbes,SAS
Brandon Paul,SAS
Derrick White,SAS
Trevor Ariza,HOU
James Harden,HOU
Ryan Anderson,HOU
Chris Paul,HOU
Clint Capela,HOU
Eric Gordon,HOU
P.J. Tucker,HOU
Luc Mbah a Moute,HOU
Nene Hilario,HOU
Bobby Brown,HOU
Zhou Qi,HOU
Demetrius Jackson,HOU
Tarik Black,HOU
Klay Thompson,GSW
Kevin Durant,GSW
Stephen Curry,GSW
Draymond Green,GSW
Zaza Pachulia,GSW
Nick Young,GSW
Patrick McCaw,GSW
Shaun Livingston,GSW
Jordan Bell,GSW
David West,GSW
Kevon Looney,GSW
Omri Casspi,GSW
JaVale McGee,GSW
Blake Griffin,LAC
Danilo Gallinari,LAC
DeAndre Jordan,LAC
Patrick Beverley,LAC
Milos Teodosic,LAC
Austin Rivers,LAC
Lou Williams,LAC
Wesley Johnson,LAC
Willie Reed,LAC
Sam Dekker,LAC
Sindarius Thornwell,LAC
Montrezl Harrell,LAC
Brice Johnson,LAC
Brandon Ingram,LAL
Larry Nance,LAL
Lonzo Ball,LAL
Brook Lopez,LAL
Luol Deng,LAL
Jordan Clarkson,LAL
Kyle Kuzma,LAL
Julius Randle,LAL
Corey Brewer,LAL
Alex Caruso,LAL
Andrew Bogut,LAL
Tyler Ennis,LAL
Kentavious Caldwell-Pope,LAL
Buddy Hield,SAC
Skal Labissiere,SAC
George Hill,SAC
Willie Cauley-Stein,SAC
Justin Jackson,SAC
Garrett Temple,SAC
De'Aaron Fox,SAC
Kosta Koufos,SAC
Vince Carter,SAC
Malachi Richardson,SAC
Georgios Papagiannis,SAC
JaKarr Sampson,SAC
Frank Mason,SAC
Anthony Davis,NOP
Jrue Holiday,NOP
DeMarcus Cousins,NOP
E'Twaun Moore,NOP
Dante Cunningham,NOP
Ian Clark,NOP
Darius Miller,NOP
Jordan Crawford,NOP
Tony Allen,NOP
Cheick Diallo,NOP
Jalen Jones,NOP
Charles Cooke,NOP
Mike Conley,MEM
Marc Gasol,MEM
Andrew Harrison,MEM
James Ennis,MEM
JaMychal Green,MEM
Dillon Brooks,MEM
Brandan Wright,MEM
Mario Chalmers,MEM
Tyreke Evans,MEM
Jarell Martin,MEM
Chandler Parsons,MEM
Deyonta Davis,MEM
Ivan Rabb,MEM